Investment ticker symbol,Investment name,Exchange,Currency,Starting investment dollar value,Ending investment dollar value,Starting share price,Ending share price,Starting shareholding,Ending shareholding,Dollar value of shares purchased (including the value of transferred shares),Dollar value of shares sold (including the value of transferred shares),Greatest number of shares held,Number of shares purchased,Number of shares sold,Number of shares gained through corporate actions,Number of shares disposed of through corporate actions,Dividends and distributions,Transaction fees,Potential additional corporate action impact,Split or consolidation share holding adjustment,NZ withholding tax (NZD),US withholding tax (USD),AU withholding tax (AUD),Foreign withholding tax (USD),Imputation credits (NZD),ADR depositary fees (USD),Is FIF,Portfolio
GXLD,Global X Gold Bullion ETF,ASX,AUD,0.0000,19054.2189,49.4300,66.5500,0,286.3143341,14909.9999998484,0,286.3143341,286.3143341,0,0,0,0,45.0,False,0,0,0,0,0,0,0,True,Investments
VTS,Vanguard US Total Market Shares Index ETF AUD,ASX,AUD,2860.3689,3032.7774,432.8500,458.9400,6.60822209,6.60822209,0,0,6.60822209,0,0,0,0,37.85195574,0,False,0,7.58,0,0,11.35558671,0,0,True,Investments
GG8,Gorilla Gold Mines Ltd,ASX,AUD,0.0000,1398.3859,0.4800,0.3200,0,4369.95604396,1970.0000000018,0,4369.95604396,4369.95604396,0,0,0,0,15.0,False,0,0,0,0,0,0,0,False,Investments
MEL,Meridian Energy Ltd,NZX,NZD,0.0000,0.0000,5.6000,5.5300,0,0,2557.5499999792,2694.7592565758,464.12274003,453.87521968,464.12274003,10.24752035,0,0,50.0,True,0,0,0,0,0,0,0,False,Investments
GOOG,Alphabet Inc,NASDAQ,USD,1819.1726,12532.4978,156.2300,286.8600,11.64419541,43.68855121,8322.6273968331,0,43.68855121,32.0443558,0,0,0,25.60576914,22.57199214,False,0,7.82,3.82,0,0,0,0,True,Investments
SFGYY,Sony Financial Group Inc. - ADR,US_OTC,USD,0.0000,0.0000,0.0000,4.5100,0,0,0,77.5398219244,15.64716586,0,15.64716586,0,0,0,1.47189401,False,0,0,0,0,0,0,0,True,Investments
VGS,Vanguard MSCI Index International Shares ETF,ASX,AUD,2397.7099,0.0000,134.3200,141.1500,17.85072911,0,0,2760.788376605,17.85072911,0,17.85072911,0,0,55.66388574,15.0,False,0,13.51,0,6,0,0,0,True,Investments
VOO,Vanguard 500 Index Fund;ETF,NYSE,USD,12909.1029,15958.5503,513.9100,597.5500,25.11938457,26.70663586,981.8099995059,0,26.70663586,1.58725129,0,0,0,180.34980830,5.0,False,0,55.25,27.03,0,0,0,0,True,Investments
COST,Costco Wholesale Corp,NASDAQ,USD,1029.0080,0.0000,945.7800,996.4300,1.08799935,0,0,987.8320468555,1.08799935,0,1.08799935,0,0,4.24319748,5.0,False,0,1.29,0.63,0,0,0,0,True,Investments
IFT,Infratil Ltd,NZX,NZD,5744.0355,6446.8221,10.3800,11.6500,553.37529075,553.37529075,0,0,553.37529075,0,0,0,0,113.44193460,0,False,0,30.94,0,0,0,9.68,0,False,Investments
SONY,Sony Group Corp (ADR),NYSE,USD,1986.4077,0.0000,25.3900,20.7000,78.2358293,0,0,2292.791023127,78.2358293,0,78.2358293,0,0,10.87145525,5.0,False,0,3.31,0,0,1.66496337,0,0,True,Investments
QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,USD,890.5012,1096.0921,468.9200,577.1800,1.89904726,1.89904726,0,0,1.89904726,0,0,0,0,6.69921186,0,False,0,2.07,0.97,0,0,0,0,True,Investments
VOOG,Vanguard S&P 500 Growth Index Fund;ETF,NYSE,USD,2659.9668,3242.1725,334.4800,407.6900,7.95254362,7.95254362,0,0,7.95254362,0,0,0,0,17.56716886,0,False,0,5.39,2.62,0,0,0,0,True,Investments
VEU,Vanguard All-World ex-US Shares Index ETF,ASX,AUD,0.0000,5548.9563,96.5000,106.5000,0,52.10287568,5124.620617005,0,52.10287568,52.10287568,0,0,0,147.80221066,17.99469087,False,0,31.15,0,3,36.78255444,0,0,True,Investments
