Trade ID,Trade date,Instrument code,Instrument name,Market code,Quantity,Price,Transaction type,Currency,Amount,Transaction fee,Transaction method,Portfolio,Initiated by
f615de86-6b59-4fc7-842b-e807ba024315,2022-08-14 22:00:00.000150 (UTC),FNZ,Smart NZ Top 50 ETF,NZX,31.16269576,3.193,BUY,nzd,99.50248756,0.49751,BUY,Investments,Jamie
df98395d-1261-4312-9b88-eeac64bb38c7,2022-08-15 01:49:47.755778 (UTC),FNZ,Smart NZ Top 50 ETF,NZX,69.01170332,3.187,BUY,nzd,219.94029848,1.09970,BUY,Investments,Jamie
c9abf923-4d29-4757-91b7-3e5827488b2a,2022-08-15 13:30:00.175000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,1,390.560,BUY,usd,390.56,1.95280,BUY,Investments,Jamie
9b9b23ef-71c2-4805-8fb5-2a383c2c39de,2022-08-15 13:31:16.468000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.27384380,390.560,BUY,usd,106.95243453,0.53476,BUY,Investments,Jamie
fc729e20-7c61-4e71-8b15-771f08d137c3,2022-09-13 13:30:23.155000 (UTC),RKLB,Rocket Lab Corp,NASDAQ,52.72727272,5.500,BUY,usd,289.99999996,1.45000,BUY,Investments,Jamie
9b5edeae-d804-4855-a3da-3921eebfc5fe,2022-09-13 21:59:51.000556 (UTC),CNU,Chorus Ltd,NZX,55.12958085,7.650,BUY,nzd,421.7412935,2.10871,BUY,Investments,Jamie
7eafc89e-84b2-4ee0-ae07-9f814b9358f4,2022-09-20 04:40:52.009148 (UTC),NWF,NZ Windfarms Ltd,NZX,2763.95798789,0.180,BUY,nzd,497.51243782,2.48756,BUY,Investments,Jamie
39897f12-9d2b-4793-bbf3-b8a1849b7ba8,2022-09-20 05:00:03.000118 (UTC),MFT,Mainfreight Ltd,NZX,4.20433046,71.000,BUY,nzd,298.50746266,1.49254,BUY,Investments,Jamie
fbc6a02f-79ea-4414-9441-8eaf8b56849d,2022-09-20 05:00:03.000118 (UTC),CO2,Carbon Fund,NZX,346.09560891,2.300,BUY,nzd,796.01990049,3.98010,BUY,Investments,Jamie
9dd8e22d-4cf2-4eaa-ab4e-933205513cc3,2022-09-20 05:00:03.000118 (UTC),IFT,Infratil Ltd,NZX,65.53620482,9.110,BUY,nzd,597.03482591,2.98517,BUY,Investments,Jamie
45beb862-8737-4a52-baec-434f5389cb26,2022-09-20 13:30:01.828000 (UTC),UNP,Union Pacific Corp,NYSE,4,213.870,BUY,usd,855.48,4.27740,BUY,Investments,Jamie
b9f63603-127b-496f-90e5-c1bd38e929db,2022-09-20 13:30:02.528000 (UTC),MSFT,Microsoft Corp,NASDAQ,2,241.810,BUY,usd,483.62,2.41810,BUY,Investments,Jamie
6b496f97-ac17-46b7-b26f-e71ea337887a,2022-09-20 13:30:02.890000 (UTC),QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,1,288.440,BUY,usd,288.44,1.44220,BUY,Investments,Jamie
d2d80ca4-6825-444a-8c03-28ee911e799a,2022-09-20 13:30:05.452000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,1.11979841,355.430,BUY,usd,398.00994887,1.99005,BUY,Investments,Jamie
493770b5-1d26-4966-8d66-1e54c5222f96,2022-09-20 13:30:15.118000 (UTC),MSFT,Microsoft Corp,NASDAQ,0.05745186,241.810,BUY,usd,13.89243427,0.06946,BUY,Investments,Jamie
0c36608b-6f3a-4e6a-af89-a71e42b71373,2022-09-20 13:30:27.393000 (UTC),UNP,Union Pacific Corp,NYSE,0.49894353,213.870,BUY,usd,106.70905276,0.53355,BUY,Investments,Jamie
31d32e3d-9915-4277-9b45-2572a99be662,2022-09-20 13:30:28.090000 (UTC),COST,Costco Wholesale Corp,NASDAQ,1.08799935,503.000,BUY,usd,547.26367305,2.73632,BUY,Investments,Jamie
4538e332-a613-41bd-9e16-f652dc05cf54,2022-09-20 13:30:29.741000 (UTC),QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,0.89904726,288.440,BUY,usd,259.32119167,1.29661,BUY,Investments,Jamie
d90394d5-5b77-4b9b-be46-c1682dfc3d21,2022-12-09 14:30:01.063000 (UTC),UNP,Union Pacific Corp,NYSE,4,212.400,SELL,usd,849.60,4.22687,SELL,Investments,Jamie
f9f40007-8c0f-4ba1-a1f5-a6fce6598da0,2022-12-09 14:30:12.832000 (UTC),UNP,Union Pacific Corp,NYSE,0.49894353,212.410,SELL,usd,105.98059521,0.52726,SELL,Investments,Jamie
50750b95-41a4-4365-a965-263779d04203,2022-12-11 21:00:05.000194 (UTC),CO2,Carbon Fund,NZX,637.83679008,2.310,BUY,nzd,1473.40298508,7.36701,BUY,Investments,Jamie
eb040988-fb98-4368-b546-8ea8e0091e78,2023-01-29 20:59:54.000190 (UTC),CNU,Chorus Ltd,NZX,2.16164686,8.350,BUY,nzd,18.04975128,0.09025,BUY,Investments,Jamie
