Trade ID,Trade date,Instrument code,Instrument name,Market code,Quantity,Price,Transaction type,Currency,Amount,Transaction fee,Transaction method,Portfolio,Initiated by
b34a41ac-a6b1-4a00-8079-942fecb4bf8c,2025-11-03 09:00:01.893000 (UTC),COST,Costco Wholesale Corp,NASDAQ,1.08799935,912.530,SELL,usd,992.83204686,5.00000,SELL,Investments,Jamie
b1ad7c18-ee38-4528-b4ad-54e1b8471da4,2025-11-04 14:30:06.953000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,1.00000000,621.710,BUY,usd,621.71,5.00000,BUY,Investments,Jamie
c9b3c6c4-90cb-426a-81e7-b2b24323f6f4,2025-11-04 14:31:19.183000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.58725129,621.710,BUY,usd,365.09999951,0.00000,BUY,Investments,Jamie
c3ea47ba-9626-4d0b-b2ab-c3d913e3b82f,2025-11-11 14:30:01.304000 (UTC),SFGYY,Sony Financial Group Inc. - ADR,US_OTC,15,5.050,SELL,usd,75.75,1.41111,SELL,Investments,Jamie
7b1ce701-6aa2-463a-92e5-75e3cb620486,2025-11-11 14:30:38.788000 (UTC),SFGYY,Sony Financial Group Inc. - ADR,US_OTC,0.64716586,5.040,SELL,usd,3.26171593,0.06079,SELL,Investments,Jamie
cc571f0b-2ba1-4fbb-b34e-3153486b8189,2025-11-11 14:31:23.665000 (UTC),SONY,Sony Group Corp (ADR),NYSE,78,29.370,SELL,usd,2290.86,5.00000,SELL,Investments,Jamie
acd4ee3d-919f-48b5-9ba7-6b488e783af3,2025-11-11 14:31:23.940000 (UTC),SONY,Sony Group Corp (ADR),NYSE,0.2358293,29.390,SELL,usd,6.93102313,0.00000,SELL,Investments,Jamie
14d9cf80-248b-4974-86b3-cd38a79d66ec,2025-11-11 21:00:11.000075 (UTC),AIR,Air New Zealand Ltd,NZX,566.03056002,0.620,SELL,nzd,350.93894721,6.54351,SELL,Investments,Jamie
d3b639da-a478-416b-b0ed-be17620ae9d4,2025-11-11 21:00:11.000075 (UTC),MEL,Meridian Energy Ltd,NZX,464.12274003,5.860,SELL,nzd,2719.75925658,25.00000,SELL,Investments,Jamie
c193e12d-b1ff-4e09-9218-e76218f6e35b,2025-11-11 21:00:11.103086 (UTC),MFT,Mainfreight Ltd,NZX,4.20433046,59.980,SELL,nzd,252.17574099,4.70200,SELL,Investments,Jamie
49776991-8ea4-4037-be7b-f12c26a10605,2025-11-11 22:59:00.801000 (UTC),VGS,Vanguard MSCI Index International Shares ETF,ASX,17.85072911,155.500,SELL,aud,2775.7883766,15.00000,SELL,Investments,Jamie
49388ab0-32a5-4c92-af20-ca7e63667a95,2025-11-12 20:01:59.895000 (UTC),GOOG,Alphabet Inc,NASDAQ,13.00000000,286.700,BUY,usd,3727.10,5.00000,BUY,Investments,Jamie
c1b03e75-5633-45ed-8681-686341ee8bc9,2025-11-12 20:02:00.121000 (UTC),GOOG,Alphabet Inc,NASDAQ,0.93443108,286.700,BUY,usd,267.90139064,0.00000,BUY,Investments,Jamie
96d61c9c-cb7f-47d3-97ae-79abeb380337,2025-11-20 14:30:22.460000 (UTC),GOOG,Alphabet Inc,NASDAQ,6.56912253,304.170,BUY,usd,1998.12999995,5.00000,BUY,Investments,Jamie
5d7d1dbe-b0a5-4b39-912a-ffb71a376940,2026-01-21 23:01:51.698000 (UTC),VEU,Vanguard All-World ex-US Shares Index ETF,ASX,1.38782521,113.570,BUY,aud,157.6153091,2.99469,BUY,Investments,Jamie
