Trade ID,Trade date,Instrument code,Instrument name,Market code,Quantity,Price,Transaction type,Currency,Amount,Transaction fee,Transaction method,Portfolio,Initiated by
25e78ad7-c5d4-445c-8ac2-f6067995a007,2023-05-07 22:31:21.216104 (UTC),CO2,Carbon Fund,NZX,495.34538868,1.720,SELL,nzd,851.99406853,15.88605,SELL,Investments,Jamie
edb6ad7d-1749-45d7-99df-55fed8d065aa,2023-05-07 22:31:21.216104 (UTC),CO2,Carbon Fund,NZX,488.58701031,1.720,SELL,nzd,840.36965773,9.11395,SELL,Investments,Jamie
2c81ab39-d784-42bd-8e41-432b15c5affe,2023-05-11 03:01:44.174234 (UTC),IFT,Infratil Ltd,NZX,10.00000000,9.370,BUY,nzd,93.70,0.00000,BUY,Investments,Jamie
914a69ba-f461-4009-baa4-22171edc2875,2023-05-11 03:01:44.174234 (UTC),IFT,Infratil Ltd,NZX,96.73959445,9.370,BUY,nzd,906.45,12.53790,BUY,Investments,Jamie
5bdd6307-e41d-4ab0-9d22-060f1a255cc2,2023-05-11 03:01:44.174234 (UTC),IFT,Infratil Ltd,NZX,67.00000000,9.370,BUY,nzd,627.79,11.92801,BUY,Investments,Jamie
11c3e85c-cfdf-45cc-ae3d-9b9c99252aa8,2023-05-11 03:01:44.174234 (UTC),IFT,Infratil Ltd,NZX,3.00000000,9.370,BUY,nzd,28.11,0.53409,BUY,Investments,Jamie
f6f4759f-b671-4bf5-a05a-06f33268f559,2023-06-20 13:30:55.259000 (UTC),MSFT,Microsoft Corp,NASDAQ,0.05507407,339.270,BUY,usd,18.68497973,0.35501,BUY,Investments,Jamie
1bd8bea3-c4a3-4955-8f01-4c98a4777641,2023-10-10 01:17:22.491001 (UTC),IFT,Infratil Ltd,NZX,1.81328819,10.180,BUY,nzd,18.45927377,0.35073,BUY,Investments,Jamie
e220a59f-e0e2-460e-ad4b-3bed0fc200f2,2023-10-17 13:30:00.176000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.01423753,397.710,BUY,usd,5.66240806,0.10759,BUY,Investments,Jamie
22f54c24-7e60-43ba-8212-59a9e4dcb3aa,2024-01-05 14:30:00.148000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.04380964,429.640,BUY,usd,18.82237373,0.35763,BUY,Investments,Jamie
bdb13672-6d8f-45bc-aa42-4a1effad981f,2024-03-25 13:30:02.817000 (UTC),MSFT,Microsoft Corp,NASDAQ,0.03003179,425.130,BUY,usd,12.76741488,0.24258,BUY,Investments,Jamie
