Investment ticker symbol,Investment name,Exchange,Currency,Starting investment dollar value,Ending investment dollar value,Starting share price,Ending share price,Starting shareholding,Ending shareholding,Dollar value of shares purchased (including the value of transferred shares),Dollar value of shares sold (including the value of transferred shares),Greatest number of shares held,Number of shares purchased,Number of shares sold,Number of shares gained through corporate actions,Number of shares disposed of through corporate actions,Dividends and distributions,Transaction fees,Potential additional corporate action impact,Split or consolidation share holding adjustment,NZ withholding tax (NZD),US withholding tax (USD),AU withholding tax (AUD),Foreign withholding tax (USD),Imputation credits (NZD),ADR depositary fees (USD),Is FIF,Portfolio
CO2,Carbon Fund,NZX,NZD,0.0000,1741.5603,2.0800,1.7700,0,983.93239899,2258.0757711578,0,983.93239899,983.93239899,0,0,0,0,11.34711442,False,0,0,0,0,0,0,0,False,Investments
VOO,Vanguard 500 Index Fund;ETF,NYSE,USD,0.0000,900.1770,415.1700,376.0700,0,2.39364221,891.0447714643,0,2.39364221,2.39364221,0,0,0,7.51819081,4.47761193,False,0,2.23,1.12772862,0,0,0,0,True,Investments
COST,Costco Wholesale Corp,NASDAQ,USD,0.0000,540.5942,575.8500,496.8700,0,1.08799935,544.52735465,0,1.08799935,1.08799935,0,0,0,1.95839882,2.7363184,False,0,0.56,0.29375982,0,0,0,0,True,Investments
IFT,Infratil Ltd,NZX,NZD,0.0000,602.9331,8.2500,9.2000,0,65.53620482,594.0496517902,0,65.53620482,65.53620482,0,0,0,4.42369383,2.98517412,False,0,0.30,0,0,0,1.72,0,False,Investments
QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,USD,0.0000,609.4612,362.5400,320.9300,0,1.89904726,545.0223857044,0,1.89904726,1.89904726,0,0,0,1.24465456,2.73880597,False,0,0.35,0.18669818,0,0,0,0,True,Investments
FNZ,Smart NZ Top 50 ETF,NZX,NZD,0.0000,306.3333,3.2890,3.0580,0,100.17439908,317.84557212252,0,100.17439908,100.17439908,0,0,0,2.95845752,1.59721392,False,0,0,0,0,0,1.15,0,False,Investments
MSFT,Microsoft Corp,NASDAQ,USD,0.0000,593.1634,308.3100,288.3000,0,2.05745186,495.0248720866,0,2.05745186,2.05745186,0,0,0,2.79813452,2.48756218,False,0,0.79,0.41972018,0,0,0,0,True,Investments
NWF,NZ Windfarms Ltd,NZX,NZD,0.0000,345.4947,0.2100,0.1250,0,2763.95798789,495.0248756402,0,2763.95798789,2763.95798789,0,0,0,1.38197876,2.48756218,False,0,0.45,0,0,0,0,0,False,Investments
RKLB,Rocket Lab Corp,NASDAQ,USD,0.0000,213.0182,8.0500,4.0400,0,52.72727272,288.54999996,0,52.72727272,52.72727272,0,0,0,0,1.45,False,0,0,0,0,0,0,0,True,Investments
MFT,Mainfreight Ltd,NZX,NZD,0.0000,294.3452,83.7500,70.0100,0,4.20433046,297.01492535,0,4.20433046,4.20433046,0,0,0,3.57368089,1.49253731,False,0,0.24,0,0,0,1.38,0,False,Investments
CNU,Chorus Ltd,NZX,NZD,0.0000,481.8192,7.4000,8.4100,0,57.29122771,437.5920895735,0,57.29122771,57.29122771,0,0,0,0,2.19895521,False,0,0,0,0,0,0,0,False,Investments
UNP,Union Pacific Corp,NYSE,USD,0.0000,0.0000,273.2100,201.2600,0,0,957.3781074911,950.8264658573,4.49894353,4.49894353,4.49894353,0,0,0,9.56507462,False,0,0,0,0,0,0,0,True,Investments
