Trade ID,Trade date,Instrument code,Instrument name,Market code,Quantity,Price,Transaction type,Currency,Amount,Transaction fee,Transaction method,Portfolio,Initiated by
f32981f3-b13c-44cc-8f5b-8854584c215a,2024-08-19 13:30:10.819000 (UTC),RKLB,Rocket Lab Corp,NASDAQ,52.72727272,6.780,SELL,usd,357.49090904,5.00000,SELL,Investments,Jamie
14ceb696-6a99-4f9a-a114-44b63edbee5b,2024-09-01 21:59:47.000083 (UTC),FNZ,Smart NZ Top 50 ETF,NZX,100.17439908,3.005,SELL,nzd,301.02406924,5.61281,SELL,Investments,Jamie
70231671-d7c0-4319-be1c-859c2e999361,2024-11-04 04:00:26.000022 (UTC),AIR,Air New Zealand Ltd,NZX,551.95266850,0.520,BUY,nzd,287.01538762,5.45329,BUY,Investments,Jamie
453c831e-1a3a-4446-9081-e18ea7e5494c,2024-11-04 04:00:26.000022 (UTC),IFT,Infratil Ltd,NZX,76.96896227,12.750,BUY,nzd,981.35426894,18.64573,BUY,Investments,Jamie
87069d63-8bf8-4fef-ab47-d2fa19586ce3,2024-11-04 14:30:06.258000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,3.00000000,525.030,BUY,usd,1575.09,5.00000,BUY,Investments,Jamie
72bf5d64-2fbc-4e39-ad01-dcb7bc82e9fb,2024-11-04 14:30:10.185000 (UTC),ASML,ASML Holding NV (ADR),NASDAQ,1.20686390,676.000,BUY,usd,815.8399964,5.00000,BUY,Investments,Jamie
01298727-048b-46dd-949e-c117e42099b6,2024-11-04 14:30:17.319000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.79978286,525.030,BUY,usd,419.90999499,0.00000,BUY,Investments,Jamie
797e7980-76d3-45c9-9997-6b7005623498,2024-11-04 21:00:22.000083 (UTC),AIR,Air New Zealand Ltd,NZX,14.07789152,0.525,BUY,nzd,7.39089305,0.14043,BUY,Investments,Jamie
1fa85c9a-40ba-44cc-b26e-b9734eef3eb1,2025-02-06 20:36:48.701000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.03892814,556.120,BUY,usd,21.64871722,0.41132,BUY,Investments,Jamie
926b4da5-b5e4-40f2-8faf-5678c7f6f95f,2025-03-25 13:30:00.389000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,7.00000000,530.570,BUY,usd,3713.99,5.00000,BUY,Investments,Jamie
404ded38-54b9-4323-9e99-ade53c841e67,2025-03-25 13:30:01.437000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,2.41440337,530.570,BUY,usd,1281.00999602,0.00000,BUY,Investments,Jamie
fef3059d-2843-4190-875b-8402ebbfa1d4,2025-03-25 13:30:06.746000 (UTC),VOOG,Vanguard S&P 500 Growth Index Fund;ETF,NYSE,7.95254362,351.270,BUY,usd,2793.4899974,5.00000,BUY,Investments,Jamie
09832fe7-0707-43b1-a55a-67335d8ff08a,2025-03-25 20:59:50.000009 (UTC),IFT,Infratil Ltd,NZX,227.58620690,10.875,BUY,nzd,2475.00000004,25.00000,BUY,Investments,Jamie
6931c112-6852-44e0-bcf5-f9500e1943cc,2025-03-25 23:00:02.374000 (UTC),VGS,Vanguard MSCI Index International Shares ETF,ASX,17.85072911,139.210,BUY,aud,2484.9999994,15.00000,BUY,Investments,Jamie
a2c3d265-9bc8-424d-a400-edc4b36a63a7,2025-03-25 23:00:19.562000 (UTC),VAS,Vanguard Australian Shares Index ETF,ASX,24.92977528,99.680,BUY,aud,2484.99999991,15.00000,BUY,Investments,Jamie
6cf44987-6dcf-4155-887b-6a37dd3c435f,2025-03-25 23:01:20.711000 (UTC),VTS,Vanguard US Total Market Shares Index ETF AUD,ASX,6.60822209,451.710,BUY,aud,2985.00000027,15.00000,BUY,Investments,Jamie
1ffc47a9-6eef-4a13-a715-86505ec42242,2025-03-26 13:30:00.163000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,9.00000000,530.560,BUY,usd,4775.04,5.00000,BUY,Investments,Jamie
86a1de32-3a9b-4a51-b73a-33f0888b8e7a,2025-03-26 13:30:00.756000 (UTC),GOOG,Alphabet Inc,NASDAQ,11.64419541,171.330,BUY,usd,1994.9999996,5.00000,BUY,Investments,Jamie
4445b4ed-f486-4507-b412-c50f2a64f068,2025-03-26 13:30:00.872000 (UTC),VOO,Vanguard 500 Index Fund;ETF,NYSE,0.41458082,530.560,BUY,usd,219.95999986,0.00000,BUY,Investments,Jamie
cea053a7-0dbe-43f4-8753-19dd11a475cf,2025-03-26 13:30:07.189000 (UTC),SONY,Sony Group Corp (ADR),NYSE,78.23582930,25.500,BUY,usd,1995.01364715,5.00000,BUY,Investments,Jamie
