Investment ticker symbol,Investment name,Exchange,Currency,Starting investment dollar value,Ending investment dollar value,Starting share price,Ending share price,Starting shareholding,Ending shareholding,Dollar value of shares purchased (including the value of transferred shares),Dollar value of shares sold (including the value of transferred shares),Greatest number of shares held,Number of shares purchased,Number of shares sold,Number of shares gained through corporate actions,Number of shares disposed of through corporate actions,Dividends and distributions,Transaction fees,Potential additional corporate action impact,Split or consolidation share holding adjustment,NZ withholding tax (NZD),US withholding tax (USD),AU withholding tax (AUD),Foreign withholding tax (USD),Imputation credits (NZD),ADR depositary fees (USD),Is FIF,Portfolio
VOO,Vanguard 500 Index Fund;ETF,NYSE,USD,900.1770,1178.5271,376.0700,480.7000,2.39364221,2.45168938,24.0195708059,0,2.45168938,0.05804717,0,0,0,15.24250547,0.46521098,False,0,4.39,2.28637582,0,0,0,0,True,Investments
COST,Costco Wholesale Corp,NASDAQ,USD,540.5942,797.1010,496.8700,732.6300,1.08799935,1.08799935,0,0,1.08799935,0,0,0,0,20.75902761,0,False,0,6.10,3.11385414,0,0,0,0,True,Investments
IFT,Infratil Ltd,NZX,NZD,602.9331,2658.1302,9.2000,10.8900,65.53620482,244.08908746,1649.1585475707,0,244.08908746,178.55288264,0,0,0,47.37071148,25.3507262,False,0,5.85,0,0,0,14.57,0,False,Investments
QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,USD,609.4612,843.1960,320.9300,444.0100,1.89904726,1.89904726,0,0,1.89904726,0,0,0,0,4.81566081,0,False,0,1.41,0.72234911,0,0,0,0,True,Investments
FNZ,Smart NZ Top 50 ETF,NZX,NZD,306.3333,303.2279,3.0580,3.0270,100.17439908,100.17439908,0,0,100.17439908,0,0,0,0,7.30827035,0,False,0,0,0,0,0,2.83,0,False,Investments
NWFRB,NZ Windfarms Rights,NZX,NZD,0.0000,0.0000,0.0000,0.0010,0,0,0,0,325.17153124,0,0,325.17153124,325.17153124,0,0,True,0,0,0,0,0,0,0,False,Investments
MSFT,Microsoft Corp,NASDAQ,USD,593.1634,901.4169,288.3000,420.7200,2.05745186,2.14255772,30.8547989316,0,2.14255772,0.08510586,0,0,0,6.00437379,0.59759568,False,0,1.74,0.90065608,0,0,0,0,True,Investments
MFT,Mainfreight Ltd,NZX,NZD,294.3452,293.0418,70.0100,69.7000,4.20433046,4.20433046,0,0,4.20433046,0,0,0,0,7.23144839,0,False,0,0.49,0,0,0,2.80,0,False,Investments
CNU,Chorus Ltd,NZX,NZD,481.8192,440.5695,8.4100,7.6900,57.29122771,57.29122771,0,0,57.29122771,0,0,0,0,24.34877178,0,False,0,8.03,0,0,0,0,0,False,Investments
CO2,Carbon Fund,NZX,NZD,1741.5603,0.0000,1.7700,1.6200,983.93239899,0,0,1667.3637262728,983.93239899,0,983.93239899,0,0,0,24.99999999,False,0,0,0,0,0,0,0,False,Investments
NWF,NZ Windfarms Ltd,NZX,NZD,345.4947,389.7181,0.1250,0.1410,2763.95798789,2763.95798789,0,0,2763.95798789,0,0,0,0,0,0,False,0,0,0,0,0,0,0,False,Investments
RKLB,Rocket Lab Corp,NASDAQ,USD,213.0182,216.7091,4.0400,4.1100,52.72727272,52.72727272,0,0,52.72727272,0,0,0,0,0,0,False,0,0,0,0,0,0,0,True,Investments
